-17.414,-31.801,11.562
-50.764,-34.226,0.336
-17.827,-12.035,5.720

7.879,-35.879,14.277
36.154,-39.644,-0.968
10.149,-11.722,5.068

-5.511,-9.902,6.106
-7.232,-10.727,6.375
-9.290,-13.212,6.442
-13.334,-14.886,5.106

-4.813,-8.338,6.390
-5.537,-7.580,8.150
-7.432,-7.864,9.957
-11.892,-9.855,10.597

-5.616,-7.854,4.556
-5.730,-6.845,6.297
-7.611,-6.033,8.831
-12.993,-7.888,9.678

-6.510,-7.793,3.782
-7.083,-6.266,5.145
-8.809,-4.889,7.133
-13.524,-6.376,7.694

-7.182,-8.135,2.238
-7.915,-6.673,3.437
-9.306,-5.821,4.411
-13.556,-6.079,5.250

-18.575,-11.067,1.863
-21.158,-12.307,2.194
-16.261,-15.691,5.011
-18.494,-16.927,4.873
-15.391,-10.421,7.509

-2.058,-9.403,6.899
-0.458,-11.056,7.160
2.367,-13.450,7.415
5.575,-15.086,6.540

-1.674,-8.276,6.819
-0.545,-6.852,7.715
1.975,-6.491,8.726
6.699,-8.266,8.916

-2.226,-7.737,5.040
-0.721,-6.186,5.843
2.226,-5.240,6.795
7.208,-7.001,6.791

-1.381,-8.150,3.577
-0.229,-6.670,3.645
2.790,-5.013,4.136
7.483,-6.549,4.266

-0.792,-5.591,0.638
1.519,-5.515,0.496
3.473,-5.768,0.800
6.948,-7.036,1.842

8.305,-16.628,5.443
10.665,-18.329,5.765
11.051,-12.916,1.761
13.533,-15.005,1.435
8.797,-10.208,5.819

-11.312,-11.382,13.661
-4.479,-8.361,4.288

6.613,-9.468,11.054
-3.775,-8.508,4.115

-4.217,-8.526,4.252
-2.288,-6.952,3.844
