preserve,batch,subject,practice_time,level,action_trial,start_frame,end_frame,angle,success
1,4,14,180,3,4,83950,84050,1,1
1,4,14,180,3,5,85300,85470,1,1
1,4,14,180,3,6,86620,86730,1,1
1,4,14,180,3,7,88530,88660,1,1
1,4,14,180,3,8,95270,95510,1,1
1,4,14,180,3,9,98650,98825,1,1
1,4,14,180,3,10,102815,102930,1,0
1,4,14,180,3,10,103040,103140,1,1
1,4,14,180,3,11,106890,107110,1,1
1,4,20,12,2,1,59105,59285,5,1
1,4,20,12,2,2,102320,102460,5,1
1,4,20,12,2,3,104600,104770,5,1
0,4,20,12,2,4,106370,106500,5,0
0,4,20,12,2,4,106510,106605,5,1
1,4,20,12,2,5,110990,111150,4,1
1,4,20,12,2,6,112690,112810,5,1
1,4,20,12,2,7,116300,116420,5,1
1,4,20,12,2,8,122150,122350,5,1
1,4,20,12,2,9,128830,129030,5,1
1,4,20,12,2,10,135000,135200,5,0
1,4,20,12,2,10,135420,135540,5,1
1,4,22,2,1,1,55430,55660,1,1
1,4,22,2,1,2,103995,104420,1,0
1,4,22,2,1,2,104590,104650,1,1
1,4,22,2,1,3,108470,108670,1,0
1,4,22,2,1,3,108680,108820,1,0
1,4,22,2,1,3,109440,109820,1,1
1,4,22,2,1,4,112870,113370,1,1
1,4,22,2,1,5,115930,116150,1,0
1,4,22,2,1,5,116705,117275,1,0
1,4,22,2,1,5,118730,119065,1,0
1,4,22,2,1,5,120070,120270,1,0
1,4,22,2,1,5,120930,121030,1,0
1,4,22,2,1,5,121840,122190,1,1
1,4,22,2,1,6,123960,124110,1,1
1,4,22,2,1,7,125840,126300,1,0
1,4,22,2,1,7,127540,127720,1,0
1,4,22,2,1,7,128700,128955,1,1
1,4,22,2,1,8,133920,134200,1,0
1,4,22,2,1,8,134480,134730,1,1
1,4,22,2,1,9,145280,145585,1,1
1,4,22,2,1,10,155770,156330,1,0
1,4,22,2,1,10,156385,156870,1,1
1,3,27,24,3,1,18630,18760,8,1
1,3,27,24,3,2,24030,24110,8,1
0,3,27,24,3,3,64595,64675,8,0
0,3,27,24,3,3,65520,65550,8,0
0,3,27,24,3,3,65590,65620,8,0
0,3,27,24,3,3,67700,67750,8,1
1,3,27,24,3,4,70375,70480,8,1
1,3,27,24,3,5,71370,71520,8,1
1,3,27,24,3,6,72410,72440,8,0
1,3,27,24,3,6,72574,72665,8,1
0,3,27,24,3,7,74000,74050,8,0
0,3,27,24,3,7,74090,74220,8,1
1,3,27,24,3,8,75145,75300,8,1
1,3,27,24,3,9,76410,76470,8,1
1,3,27,24,3,10,77350,77380,8,0
1,3,27,24,3,10,77500,77535,8,1
1,3,27,24,3,11,83020,83110,8,0
1,3,27,24,3,11,83465,83540,8,1
1,3,27,24,3,12,86865,86920,8,1
1,3,27,24,3,13,89940,89960,8,0
1,3,27,24,3,13,90110,90160,8,1
1,3,27,24,3,14,92930,92980,8,0
1,3,27,24,3,14,93020,93150,8,1
